,,BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
12,5900,3610342,5598,127344421,166748226,5288,353130,2268776,3295935,1614966,1884128,121904,14066,26710045,28546071,0,0,15771053,297382185
12,6000,2191368,4462,106236884,138923062,3844,314451,2156522,3368926,1894389,2253563,146739,18961,31385968,22179284,0,0,18360214,210703804
12,6100,4404754,9736,128745806,253987430,6035,176649,3589056,5335095,2834029,2974371,55718,16625,38862226,47517978,0,0,25719031,344333702
12,6200,5746095,9089,118730835,241250580,5825,112826,3196084,4753271,2685512,3086874,35717,19700,50287918,65836734,0,0,29189216,415527161
12,6300,3137486,6565,116888282,154091363,9123,402682,2392509,3626731,1896747,2245547,150011,21292,29510464,19609974,0,0,20492302,348439439
12,6400,3760506,5294,127763415,166891175,5192,351000,2199508,3184467,1582323,1866232,122280,16746,27637948,31652607,0,0,24585458,418910151
12,6500,3112768,4599,106059468,138318658,6419,331988,2236625,3480668,1898081,2239181,150729,20297,31035384,32842777,6,0,21540654,361198045
12,6600,3724012,4337,85360911,121161349,3350,259786,2447224,3484003,1811240,1962156,93209,19028,25609367,19866251,0,0,21420626,416868734
12,6700,2777294,4016,74869866,106805172,2920,200278,2088013,3038753,1726542,2030647,103686,21255,30462800,30458377,0,0,21890949,414489511
12,6800,3504736,6244,128147824,164593585,2569,176557,2446746,3552057,1942445,2054084,72847,21731,25321104,26702190,13,0,20589076,397255149
12,6900,3681681,5410,118259380,147723140,2370,181190,2046382,2990124,1713125,1998446,88386,28336,30252832,31898077,0,0,23589530,431334479
12,7000,3040540,4686,117114558,151311827,2752,253252,2432809,3555690,1965264,2207919,117972,26295,28382282,27717692,0,0,20413711,356130170
12,7100,3513165,5476,128532138,157190631,2746,419681,2168683,3002674,1474272,1754331,164462,23506,25592251,29240083,0,0,27933294,407274278
12,7200,3032992,4563,107161534,135485811,1678,600762,2194111,3352289,1724496,2147606,305927,31003,29764867,31494353,0,0,21758056,393865712
12,7300,3620704,5320,128602911,162307802,2391,556431,2281060,3452360,1712359,1935169,219131,23783,24862792,26225169,0,0,23053368,410308303
12,7400,3572146,5099,113776250,144199779,2112,147445,2035854,2975161,1737132,2008452,74913,27366,30249943,31914081,0,0,22730537,435209267
12,7500,3208845,4822,122144221,158220798,2148,186502,2461243,3559890,1984972,2194866,87940,24385,27508379,26544463,0,0,19357393,361752992
12,7600,3673788,5178,128819994,161911691,2014,193132,2166402,3051097,1674537,1858292,81163,24456,27631534,31609757,0,0,23358449,432178509
12,7700,3021389,4514,107360105,137314808,2128,276114,2307508,3455545,1903991,2165503,138070,27256,29345289,30927873,0,0,21392240,354112110
12,7800,3520515,5511,128915105,158142960,1899,496972,2363458,3287570,1591103,1818483,162432,20568,24128237,25312490,0,0,27027902,411474524
12,7900,3376212,5437,109539879,137151972,5949,567005,2003809,3077250,1607653,2072180,358550,27144,29422700,30956732,0,0,25795608,425743774
12,8000,3296379,5169,126773597,161632273,3141,359651,2338188,3503968,1894210,2140775,161069,24358,26174722,26124411,0,0,19172148,373289025
12,8100,3684274,5382,126315184,157108332,3123,159969,2077629,2936930,1624780,1787229,66366,24212,28655692,31527641,0,0,22965920,434263119
12,8200,3079957,4763,110206789,145480773,1871,193112,2416905,3575991,1993259,2197181,93291,27029,29895014,29920996,0,0,19358526,358932430
12,8300,3668718,5377,129090910,164965040,2661,215516,2348317,3313801,1734500,1852516,80087,21656,24836200,27603651,0,0,23585643,431447212
12,8400,3177984,4634,107523675,133305977,1758,312775,2101044,3145594,1783353,2133397,169984,29469,28854645,30317577,6,0,25474905,387602790
12,8500,3199418,5930,128855074,159141266,2203,368418,2387975,3450208,1829529,2014288,151672,28801,23814184,23515050,0,0,22938232,374379583
12,8600,2680054,5155,115610154,145615108,3118,191383,2000369,2894385,1665366,1938847,94791,21029,29679686,29422486,0,0,14482241,215424896
12,8700,3209915,5658,123252749,158606535,4943,228383,2461123,3550393,1946573,2089683,92455,17592,24985637,33662865,0,0,18057212,360103764
12,8800,3640105,5616,116913464,146695196,6306,203097,2080165,2996239,1647568,1827726,88247,16562,28921495,32968549,0,0,22008571,431147379
12,8900,3181342,4665,122207360,158375717,3202,227498,2467331,3550706,1947262,2165851,96991,18663,26386019,17321325,0,0,17563575,348441534
12,9000,3668728,5015,123824147,153910256,5440,202704,2080372,3010728,1659214,1845697,83351,19541,16226437,20731205,0,0,21448196,432681599
12,9100,3026295,5176,118099420,156130387,5844,370348,2419378,3616234,1891746,2196125,150972,20730,28497341,22290610,0,0,19809885,336758291
12,9200,3740739,5425,129178783,163959329,5929,340270,2117447,3111687,1608378,1873402,126090,17774,25479820,25041159,0,0,24673434,416328462
12,9300,3186777,4885,109888271,145984506,5623,342480,2308598,3582510,1894619,2201986,148832,17808,30071490,19216019,0,0,20448391,353936469
12,9400,3725679,5563,129228525,167962159,5426,364510,2311287,3329873,1620850,1782288,120478,17794,24387353,19304461,0,0,24634449,416262256
12,9500,3171034,4940,110114137,142226502,5762,322702,2126143,3311183,1847007,2202187,147988,20224,18847083,20985025,0,0,22185161,369044877
